,Age,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,Days_As_Customer,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,Total_Purchases,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response,Total_AcceptedCmp,AcceptedAnyCmp,Complain
66,57.0,Graduation,Together,32474.0,1,1,0,3743,10,0,1,0,0,0,11,1,1,0,2,7,0,0,0,0,0,0,0,0,0
67,45.0,2n Cycle,Single,88194.0,0,1,19,3796,688,14,309,201,24,38,1274,1,11,10,10,5,1,0,1,0,0,1,3,1,0
68,66.0,Graduation,Together,69096.0,0,1,4,3969,247,49,159,7,82,109,653,1,5,2,10,4,0,0,0,0,0,0,0,0,0
69,54.0,Graduation,Together,74854.0,1,2,90,4141,856,59,487,58,29,73,1562,7,2,5,5,5,0,0,0,0,0,0,0,0,0
70,70.0,Master,Married,66991.0,0,0,1,4350,496,36,460,189,60,12,1253,3,4,8,6,3,0,0,0,0,0,0,0,0,0
71,51.0,2n Cycle,Married,52792.824653788244,1,0,25,4347,25,3,43,17,4,17,109,3,3,0,3,8,0,0,0,0,0,0,0,0,0
72,65.0,Graduation,Married,65031.0,0,1,29,4163,258,107,291,84,37,86,863,4,10,3,13,7,0,0,0,0,0,0,0,0,0
73,49.0,PhD,Married,60631.0,1,1,88,4144,565,6,65,0,6,19,661,5,9,2,8,7,0,0,0,1,0,0,1,1,0
74,72.0,Graduation,Married,28332.0,0,0,58,3754,14,10,13,4,15,9,65,1,2,1,4,2,0,0,0,0,0,0,0,0,0
75,47.0,Graduation,Divorced,40246.0,1,0,68,4251,2,1,6,2,1,1,13,1,1,0,2,6,0,0,0,0,0,0,0,0,0
76,52.0,Master,Married,75251.0,0,0,34,4365,721,111,925,97,18,18,1890,1,7,6,5,5,0,0,0,0,0,1,1,1,0
77,48.0,Graduation,Single,75825.0,0,0,40,4319,1032,105,779,137,105,51,2209,0,5,8,9,4,0,0,1,0,0,1,2,1,0
78,48.0,2n Cycle,Together,26326.0,0,0,12,3992,1,0,5,0,3,9,18,1,0,0,3,3,0,0,0,0,0,0,0,0,1
79,59.0,Graduation,Together,56046.0,0,0,9,4237,577,0,64,0,0,51,692,2,10,1,8,8,0,0,1,0,0,1,2,1,0
80,39.0,Graduation,Single,29760.0,1,0,87,4363,64,4,68,7,5,17,165,4,3,1,4,8,0,0,0,0,0,0,0,0,0
81,55.0,Graduation,Married,26304.0,1,0,5,4065,4,1,5,2,0,4,16,1,1,0,2,7,0,0,0,0,0,0,0,0,0
82,51.0,2n Cycle,Married,23559.0,1,0,87,4055,25,5,19,7,0,23,79,3,3,0,3,7,0,0,0,0,0,0,0,0,0
84,37.0,Graduation,Divorced,81361.0,0,0,18,3818,163,23,424,27,65,76,778,1,3,10,13,1,0,0,0,0,0,0,0,0,0
85,64.0,Graduation,Married,29440.0,1,1,95,4016,17,8,14,10,4,3,56,2,1,0,4,7,0,0,0,0,0,0,0,0,0
86,54.0,Master,Married,36138.0,1,1,48,4042,130,0,16,0,0,5,151,5,3,1,4,7,0,0,0,1,0,0,1,1,0
87,67.0,Graduation,Single,50388.0,0,1,3,3726,292,6,37,0,3,34,372,4,6,1,6,7,1,0,0,1,0,1,3,1,0
88,51.0,Graduation,Married,79593.0,0,0,70,3742,350,60,568,110,133,145,1366,1,5,6,7,2,0,0,0,0,1,0,1,1,0
89,57.0,Graduation,Together,54178.0,0,1,79,3853,135,9,39,4,0,7,194,1,2,2,5,2,0,0,0,0,0,0,0,0,0
90,67.0,PhD,Married,52792.824653788244,2,1,4,4281,230,42,192,49,37,53,603,12,7,2,8,9,0,0,0,0,0,0,0,0,0
91,67.0,Graduation,Single,52792.824653788244,1,1,45,3727,7,0,8,2,0,1,18,1,1,0,2,7,0,0,0,0,0,0,0,0,0
92,51.0,Master,Together,52792.824653788244,0,0,87,3912,445,37,359,98,28,18,985,1,2,4,8,1,0,0,0,0,0,0,0,0,0
93,52.0,Master,Single,42394.0,1,0,69,3792,15,2,10,0,1,4,32,1,1,0,3,7,0,0,0,0,0,0,0,0,0
94,54.0,PhD,Married,23626.0,1,0,84,3730,27,2,14,0,0,0,43,3,3,1,3,5,0,0,0,0,0,0,0,0,0
95,41.0,Graduation,Married,30096.0,1,0,30,3732,5,3,11,12,5,9,45,1,2,0,3,6,0,0,0,0,0,0,0,0,0
96,64.0,Graduation,Widow,47916.0,0,1,72,4278,505,0,26,0,0,75,606,5,7,4,6,6,0,0,0,1,0,0,1,1,0
97,52.0,Graduation,Divorced,51813.0,1,1,37,4138,51,2,7,0,1,2,63,2,2,0,3,7,0,0,0,0,0,0,0,0,0
98,73.0,2n Cycle,Married,78497.0,0,0,44,3904,207,26,447,75,0,223,978,1,5,7,12,2,1,0,0,0,0,0,1,1,0
99,41.0,PhD,Married,50150.0,0,0,32,4068,135,46,92,65,61,11,410,2,5,2,7,5,0,0,0,0,0,0,0,0,0
100,64.0,2n Cycle,Single,47823.0,0,1,0,4035,53,1,5,2,1,10,72,2,2,0,3,8,0,0,0,0,0,0,0,0,0
101,65.0,PhD,Single,34554.0,0,1,43,3785,41,1,6,2,0,5,55,2,2,0,3,6,0,0,0,0,0,0,0,0,0
102,45.0,Graduation,Together,85693.0,0,1,59,4129,386,172,183,185,132,111,1169,2,9,5,11,5,0,0,0,0,0,0,0,0,0
103,79.0,PhD,Married,65846.0,0,0,68,4102,562,81,276,80,40,81,1120,1,6,3,6,4,0,0,0,0,0,0,0,0,0
104,65.0,Graduation,Married,87195.0,0,0,35,3746,217,76,690,50,26,38,1097,1,3,11,5,1,0,0,0,0,0,1,1,1,0
105,45.0,Basic,Together,24594.0,1,0,94,3895,1,3,6,10,0,9,29,1,1,0,3,5,0,0,0,0,0,0,0,0,0
106,60.0,Graduation,Married,49096.0,1,1,15,3972,144,1,32,2,1,7,187,4,4,1,4,7,0,0,0,0,0,0,0,0,0
107,55.0,Graduation,Married,52413.0,0,2,56,4206,295,106,271,75,98,65,910,4,6,4,12,6,0,0,0,0,0,0,0,0,0
108,46.0,Graduation,Single,38557.0,1,0,17,4251,76,3,31,4,4,27,145,2,3,1,3,7,0,0,0,0,0,0,0,0,0
109,64.0,Master,Married,89058.0,0,0,18,4263,454,194,106,31,22,43,850,1,5,4,4,2,0,0,0,0,0,0,0,0,0
110,45.0,Graduation,Together,77298.0,0,1,46,3933,425,115,292,23,35,79,969,1,6,6,11,3,0,0,0,0,0,0,0,0,0
111,33.0,PhD,Single,68126.0,0,0,40,4290,1332,17,311,23,51,86,1820,1,7,4,5,9,0,0,0,1,0,1,2,1,0
112,61.0,Master,Together,57288.0,0,1,27,3698,527,0,21,0,0,60,608,3,8,1,8,6,0,0,0,1,0,0,1,1,0
113,33.0,Graduation,Single,86037.0,0,0,95,4237,490,44,125,29,20,22,730,1,6,7,11,3,0,0,0,1,1,1,3,1,0
114,44.0,PhD,Married,43974.0,1,0,19,4258,378,0,101,0,0,72,551,5,6,4,6,7,0,0,0,0,0,0,0,0,0
115,62.0,Graduation,Single,50785.0,1,1,27,3986,64,1,21,0,1,27,114,2,2,1,3,6,0,0,0,0,0,0,0,0,0
116,54.0,Graduation,Married,90765.0,0,0,25,3850,547,99,812,151,82,33,1724,0,4,6,5,1,1,0,0,0,1,0,2,1,0
117,46.0,2n Cycle,Married,36550.0,1,0,74,4189,47,90,94,123,103,120,577,5,9,1,5,9,0,0,0,0,0,0,0,0,0
118,57.0,2n Cycle,Together,30753.0,1,1,85,4047,12,5,25,0,9,30,81,2,1,1,3,5,0,0,0,0,0,0,0,0,0
119,55.0,Graduation,Together,21918.0,1,0,37,3921,1,6,7,11,5,3,33,2,2,0,3,6,0,0,0,0,0,0,0,0,0
120,71.0,Master,Together,56129.0,0,1,65,4068,320,48,133,39,72,48,660,4,6,2,10,4,0,0,0,0,0,0,0,0,0
121,57.0,Master,Single,32557.0,1,0,13,3819,34,3,29,0,4,10,80,3,2,1,3,5,0,0,0,0,0,1,1,1,0
122,39.0,Master,Married,19510.0,2,0,63,3992,9,0,7,3,4,7,30,2,1,0,3,7,0,0,0,0,0,0,0,0,0
123,48.0,Graduation,Divorced,30992.0,1,0,83,4127,17,0,14,7,3,2,43,1,1,0,3,7,0,0,0,0,0,0,0,0,0
124,41.0,Graduation,Single,101970.0,0,0,69,4168,722,27,102,44,72,168,1135,0,6,8,13,2,1,0,0,1,1,1,4,1,0
125,59.0,2n Cycle,Together,71488.0,0,0,87,4190,162,33,124,40,28,172,559,2,3,4,7,1,0,0,0,0,0,0,0,0,0
126,40.0,Graduation,Single,79607.0,0,0,37,4128,450,133,951,173,0,216,1923,1,3,6,6,1,0,0,0,0,0,1,1,1,0
127,71.0,Master,Married,54348.0,1,1,51,3715,70,0,16,0,0,4,90,2,2,0,4,6,0,0,0,0,0,0,0,0,0
128,63.0,PhD,Married,52792.824653788244,0,1,23,4047,352,0,27,10,0,15,404,3,6,1,7,6,0,0,0,0,0,0,0,0,0
129,68.0,PhD,Together,77376.0,1,1,72,3744,492,19,110,16,12,12,661,4,6,3,10,4,0,0,0,0,0,0,0,0,0
130,72.0,Graduation,Married,62998.0,0,1,10,3966,120,58,73,65,89,58,463,5,5,4,5,5,0,0,0,0,0,0,0,0,0
131,66.0,Master,Single,61331.0,1,1,42,4170,534,5,47,0,5,41,632,5,11,1,6,8,0,0,0,0,0,0,0,0,0
132,55.0,Graduation,Married,73448.0,0,0,10,3833,236,106,189,23,41,130,725,1,7,2,9,4,0,0,0,0,0,0,0,0,0
133,61.0,Graduation,Married,52792.824653788244,0,1,96,4016,231,65,196,38,71,124,725,1,6,5,7,4,0,0,0,0,0,0,0,0,0
134,60.0,PhD,Married,41551.0,1,1,51,4013,220,0,33,3,0,23,279,5,5,1,5,8,0,0,0,0,0,0,0,0,0
135,57.0,PhD,Together,62981.0,0,0,21,4163,796,14,590,38,44,0,1482,1,4,5,13,3,0,0,0,1,0,0,1,1,0
136,48.0,Basic,Divorced,9548.0,1,0,31,4384,0,1,3,10,6,9,29,2,1,0,3,8,0,0,0,0,0,0,0,0,0
137,65.0,PhD,Married,33762.0,2,1,61,4051,53,1,34,2,0,16,106,3,2,2,2,8,0,0,0,0,0,0,0,0,0
138,51.0,PhD,Single,35860.0,1,1,37,3735,15,0,8,4,2,20,49,2,1,1,2,5,0,0,1,0,0,1,2,1,0
139,59.0,PhD,Divorced,36921.0,1,1,74,4030,17,1,12,3,1,4,38,2,2,0,3,7,0,0,0,0,0,0,0,0,0
140,32.0,Master,Single,92859.0,0,0,46,4312,962,61,921,52,61,20,2077,1,5,4,12,2,0,0,0,0,0,0,0,0,0
141,48.0,Master,Together,65104.0,0,1,4,3921,738,0,232,13,20,50,1053,2,3,5,7,7,0,0,0,0,0,1,1,1,0
142,62.0,Graduation,Married,86111.0,0,0,73,4130,399,28,756,36,40,126,1385,1,5,7,10,2,0,0,0,0,0,0,0,0,0
143,50.0,PhD,Single,68352.0,0,1,47,3999,614,16,132,43,33,33,871,3,8,5,9,6,0,0,0,0,0,0,0,0,0
144,36.0,Graduation,Together,41883.0,1,0,13,4161,32,34,41,73,16,116,312,3,4,2,3,7,0,0,0,0,0,0,0,0,0
145,48.0,Graduation,Married,59809.0,0,2,36,4313,598,16,141,32,41,49,877,3,3,3,6,8,0,0,0,0,0,0,0,0,0
146,49.0,Graduation,Married,23957.0,1,0,47,4303,2,1,18,20,11,16,68,1,2,0,3,6,0,0,0,0,0,1,1,1,0
147,43.0,Graduation,Together,38547.0,1,0,49,3999,6,1,10,0,1,4,22,1,1,0,2,8,0,0,0,0,0,0,0,0,1
148,51.0,2n Cycle,Married,35688.0,2,1,94,4370,73,3,90,12,1,32,211,7,4,1,4,8,0,0,0,0,0,0,0,0,0
149,58.0,Master,Married,49605.0,0,0,65,3702,42,16,29,12,20,8,127,1,2,1,4,3,0,0,0,0,0,0,0,0,0
150,71.0,Master,Married,59354.0,0,2,59,3760,295,21,78,39,13,13,459,1,4,4,7,3,0,0,0,0,0,0,0,0,0
151,55.0,Graduation,Married,65747.0,0,1,96,3808,346,17,48,23,13,13,460,4,8,1,6,6,0,0,0,1,0,0,1,1,0
152,52.0,2n Cycle,Together,46344.0,0,1,28,4256,233,20,57,8,20,91,429,4,7,1,5,7,0,0,0,0,0,0,0,0,0
153,36.0,Graduation,Single,34176.0,1,0,12,3742,5,7,24,19,14,20,89,4,3,0,4,6,0,0,0,0,0,0,0,0,0
154,72.0,PhD,Together,61010.0,0,1,57,4322,888,0,57,0,0,76,1021,2,8,5,11,5,0,0,0,0,0,0,0,0,0
155,75.0,Graduation,Together,69372.0,0,0,10,4189,997,26,269,34,13,42,1381,1,10,4,6,4,0,0,0,1,1,1,3,1,0
156,66.0,Graduation,Single,49967.0,0,1,4,4050,212,6,69,4,12,3,306,3,6,1,5,7,0,0,0,0,0,0,0,0,0
157,46.0,Graduation,Single,60199.0,1,2,49,3984,8,1,7,2,0,0,18,1,0,0,3,4,0,0,0,0,0,0,0,0,0
158,47.0,Graduation,Together,55375.0,0,1,3,3949,42,11,57,10,28,14,162,1,1,1,6,2,0,0,0,0,0,0,0,0,0
159,69.0,Graduation,Single,80317.0,0,0,64,4007,536,11,387,149,91,57,1231,1,3,4,10,1,0,0,0,0,0,0,0,0,0
160,66.0,Master,Single,30523.0,2,1,0,4057,5,0,3,0,0,5,13,1,1,0,2,7,0,0,0,0,0,0,0,0,0
161,79.0,PhD,Married,70356.0,0,0,20,4295,1349,16,249,43,16,33,1706,2,10,6,9,6,0,0,0,0,0,0,0,0,0
162,40.0,Graduation,Married,23228.0,1,0,91,3869,53,3,49,7,4,5,121,4,3,0,4,8,0,0,0,0,0,0,0,0,0
163,49.0,PhD,Divorced,74165.0,0,0,9,4118,1001,12,240,16,12,12,1293,1,5,4,10,2,0,0,0,0,0,0,0,0,0
164,51.0,PhD,Married,157243.0,0,1,98,3814,20,2,1582,1,2,1,1608,15,0,22,0,0,0,0,0,0,0,0,0,0,0
165,58.0,Graduation,Together,43482.0,2,1,83,3922,18,1,32,6,3,28,88,3,2,0,4,6,0,0,0,0,0,0,0,0,0
166,71.0,Graduation,Divorced,62551.0,0,0,27,3917,125,16,98,134,21,27,421,1,6,7,4,3,0,0,1,0,0,0,1,1,0
167,65.0,Graduation,Divorced,52332.0,0,0,63,3999,212,5,33,7,0,2,259,1,3,2,6,4,0,0,0,1,0,0,1,1,0
168,36.0,Graduation,Single,66951.0,0,0,46,3933,277,162,305,173,76,124,1117,1,3,4,7,1,0,0,0,0,0,0,0,0,0
169,67.0,Graduation,Together,26091.0,1,1,84,3818,15,10,19,8,17,20,89,3,2,1,3,5,0,0,0,0,0,0,0,0,0
170,59.0,Graduation,Together,33456.0,1,1,58,3763,7,3,10,8,1,7,36,2,1,0,3,7,0,0,0,0,0,0,0,0,0
171,42.0,Graduation,Married,28718.0,1,0,78,4045,12,4,6,11,8,16,57,2,2,0,3,8,0,0,0,0,0,0,0,0,0
172,54.0,Graduation,Married,50447.0,2,0,4,3763,85,7,24,2,3,27,148,1,3,1,3,6,0,0,0,0,0,0,0,0,0
173,65.0,PhD,Together,53537.0,1,1,17,3844,81,0,6,0,0,6,93,2,2,1,3,5,0,0,0,0,0,0,0,0,0
174,57.0,Graduation,Single,52074.0,0,1,77,3780,59,0,12,0,0,48,119,1,2,2,2,4,0,0,1,0,0,0,1,1,0
175,49.0,PhD,Married,80427.0,0,1,56,4349,1149,71,449,69,71,26,1835,1,11,8,8,5,0,0,0,0,0,0,0,0,0
176,76.0,PhD,Married,83837.0,0,0,79,4254,847,66,119,86,89,111,1318,1,9,10,5,4,1,0,0,1,0,1,3,1,0
177,54.0,PhD,Married,38853.0,1,1,90,3731,29,0,14,0,0,2,45,2,2,0,3,7,0,0,0,0,0,0,0,0,0
178,65.0,Graduation,Together,38285.0,2,1,96,3699,2,0,5,2,0,1,10,1,0,0,3,2,0,0,0,0,0,0,0,0,0
180,48.0,PhD,Married,51650.0,0,1,81,3743,152,3,22,2,5,7,191,1,4,1,4,5,0,0,0,0,0,0,0,0,0
181,36.0,2n Cycle,Married,16248.0,1,0,77,3744,12,11,10,3,12,9,57,3,2,1,3,6,0,0,0,0,0,0,0,0,0
182,78.0,Master,Married,66835.0,0,0,21,3968,620,26,195,34,17,141,1033,1,6,4,13,2,0,0,0,0,0,0,0,0,0
183,40.0,Master,Married,30477.0,1,0,16,3852,47,1,6,0,0,12,66,1,1,1,3,6,0,0,0,0,0,0,0,0,0
184,63.0,Basic,Married,28249.0,0,0,80,3708,1,9,7,2,14,10,43,1,2,0,3,6,0,0,0,0,0,0,0,0,0
185,41.0,Graduation,Married,25271.0,1,0,45,4265,10,1,18,10,4,7,50,1,1,1,2,9,0,0,0,0,0,0,0,0,0
186,54.0,PhD,Single,32303.0,0,1,63,3807,35,0,2,0,0,2,39,2,1,0,4,5,0,0,0,0,0,0,0,0,0
187,58.0,Graduation,Married,61286.0,0,1,34,4025,356,0,107,19,9,117,608,2,7,1,8,5,0,0,0,0,0,0,0,0,0
188,48.0,Graduation,Married,74068.0,0,0,14,4161,783,30,537,140,76,15,1581,1,4,10,9,2,0,0,0,0,0,0,0,0,0
189,60.0,PhD,Married,45759.0,1,1,13,4185,42,1,18,3,0,4,68,2,2,0,3,7,0,0,0,0,0,0,0,0,0
190,46.0,Basic,Together,24882.0,1,0,52,4352,1,4,10,29,0,36,80,1,1,1,2,6,0,0,1,0,0,0,1,1,0
191,35.0,PhD,Together,66973.0,0,0,98,4102,466,22,432,147,113,102,1282,1,8,7,12,3,0,0,0,0,0,0,0,0,0
192,55.19419642857143,2n Cycle,Divorced,36640.0,1,0,99,3970,15,6,8,7,4,25,65,1,2,1,2,5,0,0,0,0,0,0,0,0,1
193,36.0,Graduation,Married,38872.0,1,0,93,4089,23,3,21,3,19,22,91,2,3,0,3,8,0,0,0,0,0,0,0,0,0
194,51.0,Graduation,Married,51148.0,1,1,38,4190,235,6,45,8,9,12,315,4,5,1,6,6,0,0,0,0,0,0,0,0,0
